ax,ay,az,gx,gy,gz
9.9,-0.225,1.937,-0.033,0.001,-0.016
9.955,-0.247,1.925,-0.034,0.001,-0.014
9.977,-0.22,1.918,-0.034,0.001,-0.014
9.948,-0.23,1.937,-0.034,0.002,-0.015
9.931,-0.249,1.944,-0.034,0.001,-0.015
9.938,-0.225,1.923,-0.034,0.0,-0.015
9.96,-0.218,1.937,-0.033,0.001,-0.015
9.989,-0.268,1.925,-0.034,0.001,-0.014
9.969,-0.239,1.961,-0.034,0.001,-0.014
9.934,-0.237,1.915,-0.033,0.0,-0.014
9.953,-0.239,1.923,-0.034,0.0,-0.015
9.965,-0.239,1.92,-0.034,0.0,-0.015
9.955,-0.227,1.906,-0.034,0.0,-0.014
9.955,-0.242,1.92,-0.033,0.0,-0.016
9.912,-0.23,1.891,-0.034,0.001,-0.015
9.922,-0.244,1.935,-0.034,0.001,-0.015
9.957,-0.266,1.915,-0.033,0.001,-0.015
9.929,-0.22,1.899,-0.034,0.001,-0.015
9.938,-0.242,1.925,-0.034,0.002,-0.014
9.938,-0.259,1.927,-0.034,0.0,-0.015
9.914,-0.235,1.93,-0.035,0.001,-0.014
9.95,-0.223,1.932,-0.034,0.001,-0.015
9.946,-0.239,1.935,-0.034,0.001,-0.014
9.905,-0.218,1.918,-0.034,0.002,-0.014
9.948,-0.23,1.923,-0.034,0.0,-0.014
9.977,-0.237,1.963,-0.035,0.001,-0.014
9.95,-0.239,1.946,-0.033,0.001,-0.016
9.943,-0.261,1.915,-0.035,0.001,-0.014
9.948,-0.22,1.935,-0.034,-0.0,-0.014
9.902,-0.294,2.011,-0.01,0.0,-0.014
9.967,-0.239,1.92,-0.033,-0.002,-0.016
9.917,-0.218,1.923,-0.034,0.001,-0.014
9.96,-0.287,1.908,-0.034,0.0,-0.016
9.919,-0.232,1.939,-0.034,0.0,-0.014
9.962,-0.244,1.913,-0.034,0.0,-0.016
9.96,-0.237,1.923,-0.034,0.001,-0.014
9.919,-0.247,1.92,-0.034,0.001,-0.014
9.936,-0.247,1.954,-0.034,0.001,-0.015
9.936,-0.237,1.927,-0.034,0.001,-0.015
9.934,-0.218,1.958,-0.035,0.0,-0.014
9.965,-0.251,1.908,-0.033,0.001,-0.014
9.929,-0.225,1.954,-0.033,0.001,-0.015
9.931,-0.237,1.913,-0.034,0.0,-0.014
9.936,-0.215,1.908,-0.034,0.001,-0.014
9.977,-0.251,1.93,-0.034,0.002,-0.015
9.953,-0.232,1.913,-0.033,0.0,-0.015
9.926,-0.242,1.973,-0.034,0.001,-0.015
9.955,-0.268,1.939,-0.034,0.001,-0.014
9.926,-0.223,1.896,-0.034,0.002,-0.014
9.972,-0.256,1.927,-0.034,0.001,-0.016
9.948,-0.22,1.891,-0.034,0.001,-0.014
9.917,-0.249,1.982,-0.033,0.001,-0.016
9.96,-0.244,1.92,-0.033,0.001,-0.014
9.926,-0.232,1.882,-0.034,0.001,-0.015
9.955,-0.249,1.963,-0.033,0.002,-0.015
9.948,-0.259,1.877,-0.033,0.001,-0.015
9.924,-0.206,1.961,-0.034,0.001,-0.015
9.979,-0.28,1.923,-0.034,0.001,-0.016
9.938,-0.223,1.927,-0.033,0.001,-0.015
9.948,-0.242,1.906,-0.034,0.0,-0.016
9.946,-0.244,1.935,-0.034,0.001,-0.013
9.931,-0.215,1.894,-0.034,0.001,-0.015
9.969,-0.266,1.935,-0.034,0.001,-0.015
9.938,-0.215,1.906,-0.034,0.002,-0.015
9.924,-0.237,1.903,-0.034,-0.0,-0.015
9.938,-0.254,1.958,-0.034,0.001,-0.014
9.934,-0.235,1.923,-0.033,0.001,-0.014
9.967,-0.235,1.911,-0.034,0.0,-0.015
9.96,-0.247,1.918,-0.034,0.001,-0.015
9.914,-0.223,1.932,-0.034,0.001,-0.015
9.979,-0.271,1.915,-0.034,0.001,-0.015
9.936,-0.211,1.932,-0.034,0.0,-0.014
9.955,-0.259,1.92,-0.034,0.0,-0.016
9.938,-0.249,1.915,-0.034,0.001,-0.014
9.967,-0.223,1.918,-0.034,0.0,-0.014
9.977,-0.247,1.918,-0.035,-0.001,-0.015
9.9,-0.254,1.963,-0.034,0.002,-0.015
9.823,-0.057,1.92,0.143,0.009,0.013
9.89,-1.604,2.033,0.25,-0.045,-0.01
9.924,-0.795,2.188,0.139,0.008,0.016
10.199,-0.129,1.875,-0.056,-0.001,-0.019
9.895,-0.211,1.923,-0.034,0.002,-0.016
9.957,-0.242,1.915,-0.035,-0.0,-0.013
9.972,-0.194,1.92,-0.035,0.001,-0.014
9.967,-0.225,1.963,-0.033,0.001,-0.017
9.981,-0.249,1.918,-0.035,0.002,-0.014
9.926,-0.201,1.915,-0.034,0.001,-0.015
9.969,-0.283,1.944,-0.035,0.001,-0.015
9.938,-0.254,1.87,-0.034,0.002,-0.009
9.871,-0.16,1.935,-0.033,-0.002,-0.017
9.938,-0.268,1.911,-0.034,0.004,-0.013
9.981,-0.247,1.87,-0.033,0.001,-0.014
9.912,-0.168,1.944,-0.032,0.002,-0.015
9.914,-0.314,1.853,-0.032,0.001,-0.017
9.898,-0.251,1.985,-0.033,0.002,-0.012
9.996,-0.223,1.879,-0.032,0.001,-0.016
10.032,-0.314,1.927,-0.033,0.002,-0.014
9.902,-0.215,1.918,-0.034,0.001,-0.014
9.938,-0.309,1.853,-0.033,-0.001,-0.017
9.972,-0.261,1.949,-0.034,0.001,-0.013
9.946,-0.187,1.865,-0.035,-0.001,-0.014
9.991,-0.268,1.903,-0.034,0.001,-0.017
9.041,0.091,1.717,-0.037,0.027,0.018
9.759,0.05,1.853,-0.03,-0.027,-0.022
10.748,-0.275,2.114,-0.03,-0.009,-0.018
9.984,0.18,1.753,-0.03,0.009,-0.023
9.974,-0.596,2.061,-0.029,0.006,-0.023
10.08,-0.402,2.006,-0.034,0.002,0.0
10.041,-0.065,1.824,-0.032,-0.003,-0.016
10.175,-0.496,2.073,-0.033,0.003,-0.012
9.74,-0.053,1.796,-0.034,0.005,-0.008
9.84,-0.254,1.923,-0.032,0.0,-0.02
9.993,-0.354,1.932,-0.035,0.003,-0.007
9.869,-0.024,1.817,-0.033,-0.001,-0.02
10.094,-0.445,1.997,-0.033,0.001,-0.018
9.914,-0.18,1.884,-0.035,0.003,-0.009
9.957,-0.247,1.899,-0.032,-0.001,-0.02
10.048,-0.388,2.009,-0.034,0.002,-0.012
9.895,-0.098,1.879,-0.034,0.002,-0.014
9.984,-0.294,1.918,-0.033,0.0,-0.019
9.95,-0.285,1.925,-0.035,0.001,-0.01
9.876,-0.11,1.884,-0.034,-0.0,-0.016
9.989,-0.33,1.985,-0.034,0.001,-0.017
9.895,-0.177,1.867,-0.034,0.0,-0.012
9.914,-0.201,1.906,-0.033,-0.001,-0.019
9.993,-0.326,1.961,-0.034,0.0,-0.015
9.929,-0.141,1.87,-0.034,0.0,-0.014
