ax,ay,az,gx,gy,gz
3.631,6.231,2.046,-4.249,4.023,-1.532
-0.378,4.593,-1.289,-4.107,2.181,-3.06
-5.105,5.594,-2.672,-3.841,2.233,-4.832
-11.467,8.375,-0.055,-3.842,1.671,-6.392
-21.631,10.137,12.417,-2.719,2.186,-6.459
-26.662,9.969,28.559,-0.41,3.583,-3.745
-32.373,0.665,41.83,2.33,3.102,-0.656
-33.337,-17.035,47.483,4.753,2.0,1.927
-29.377,-31.097,41.566,6.088,1.487,3.905
-23.112,-37.519,27.563,4.869,-0.243,4.201
-23.87,-35.062,15.525,2.136,-1.786,2.422
-16.729,-24.626,4.179,-0.461,0.13,1.414
-11.705,-8.198,-0.096,-3.085,1.046,1.425
-9.565,2.474,4.01,-4.354,2.008,1.832
-6.067,6.498,6.412,-4.089,3.304,2.411
