ax,ay,az,gx,gy,gz
17.101,-8.066,-4.968,0.504,-1.474,0.122
13.615,-9.983,-5.321,0.486,-4.089,-0.05
10.834,-11.714,-4.36,0.301,-5.552,-0.929
9.803,-9.74,-3.171,-0.368,-7.241,-2.463
6.072,-4.485,1.561,-2.068,-8.492,-3.445
-2.35,0.921,2.147,-2.32,-7.585,-3.798
-3.044,6.224,4.774,-1.62,-4.092,-2.867
-0.365,9.982,4.814,-1.237,-0.6,-0.797
-0.675,9.135,3.662,-0.259,2.41,1.66
0.739,3.274,-0.822,1.805,4.753,3.196
5.353,-2.025,-0.898,2.308,6.091,3.605
6.519,-6.541,-3.248,1.866,5.56,2.793
6.528,-9.738,-4.106,1.956,4.633,1.441
9.262,-12.39,-3.665,1.808,3.374,0.508
10.861,-13.284,-3.534,1.446,2.233,0.124
