ax,ay,az,gx,gy,gz
2.364,9.266,-0.589,-0.048,0.104,-0.14
2.408,9.251,-0.61,-0.022,0.158,-0.13
2.356,9.218,-0.583,-0.001,0.155,-0.126
2.335,9.208,-0.522,0.005,0.129,-0.118
2.097,9.19,-0.561,0.013,0.132,-0.117
2.065,9.162,-0.514,0.006,0.168,-0.114
1.871,9.153,-0.53,0.003,0.163,-0.131
1.796,9.171,-0.549,-0.001,0.172,-0.145
1.664,9.175,-0.552,-0.006,0.227,-0.165
1.52,9.197,-0.529,0.0,0.242,-0.188
1.457,9.196,-0.531,0.007,0.269,-0.206
1.242,9.173,-0.476,0.017,0.293,-0.224
1.158,9.193,-0.399,0.036,0.322,-0.243
1.013,9.266,-0.288,0.061,0.337,-0.251
0.951,9.297,-0.147,0.075,0.354,-0.26
