ax,ay,az,gx,gy,gz
-2.237,-15.283,0.944,-2.344,0.844,-2.223
0.963,-18.249,0.992,-2.74,1.06,-2.097
2.213,-17.575,2.6,-2.993,1.366,-0.555
6.53,0.906,4.204,-4.263,2.52,1.691
6.701,5.863,7.716,-3.169,0.896,2.713
3.937,13.888,6.437,-2.56,-1.175,1.514
-0.306,21.386,4.964,-1.555,-2.633,0.8
-2.46,21.218,3.721,-0.803,-4.577,-0.946
-8.98,2.729,2.491,1.282,-6.65,-3.121
-9.816,-3.048,-0.212,1.51,-4.421,-3.425
-7.91,-9.832,1.789,2.262,-1.856,-1.369
-5.365,-14.887,3.934,2.295,-0.26,-0.324
-4.432,-14.868,3.9,2.325,1.072,0.195
-2.527,-13.404,3.405,2.112,1.986,0.552
-2.554,-10.549,2.74,1.514,1.311,0.409
