ax,ay,az,gx,gy,gz
-1.107,-9.069,-3.167,-0.083,-0.114,0.318
-1.365,-9.142,-3.151,-0.081,-0.118,0.323
-1.628,-9.216,-3.141,-0.072,-0.137,0.282
-1.754,-9.185,-3.122,-0.076,-0.128,0.214
-1.84,-8.979,-3.082,-0.086,-0.129,0.172
-1.843,-8.822,-3.044,-0.097,-0.147,0.195
-2.063,-8.788,-3.106,-0.102,-0.181,0.235
-2.503,-8.898,-3.235,-0.093,-0.21,0.207
-2.814,-8.944,-3.323,-0.063,-0.167,0.124
-2.729,-8.952,-3.372,-0.025,-0.112,0.033
-2.682,-8.824,-3.285,0.021,-0.028,-0.005
-2.464,-8.619,-2.862,0.038,-0.005,0.056
-2.001,-8.426,-2.461,0.002,-0.097,0.236
-2.078,-8.532,-2.026,-0.066,-0.143,0.48
-2.004,-8.652,-1.582,-0.13,-0.093,0.698
-1.044,-9.29,-1.077,-0.203,-0.167,0.714
0.875,-13.128,-0.354,-0.272,-0.566,0.322
2.414,-17.313,1.114,-0.686,-1.038,-0.404
2.016,-20.809,2.485,-1.264,-1.523,-0.897
0.557,-22.573,4.123,-2.145,-0.742,-0.691
-0.559,-19.072,7.292,-3.85,1.051,0.816
-4.026,-3.024,5.46,-4.979,3.235,1.537
5.058,4.378,7.413,-3.576,3.524,3.356
7.456,11.006,5.913,-3.045,2.39,3.315
6.711,18.742,3.907,-1.849,-0.225,1.605
3.529,17.874,0.751,0.373,-2.529,-0.433
4.362,5.499,2.765,2.462,-4.581,-1.011
-6.783,-0.287,-0.214,2.271,-4.382,-2.508
-8.195,-5.533,-0.611,2.843,-1.824,-2.281
-5.065,-12.647,0.173,3.018,0.928,-0.985
-0.562,-15.383,0.422,2.781,1.768,-0.386
0.391,-15.15,0.025,2.003,2.018,-0.158
1.539,-12.649,0.381,1.331,2.282,0.171
2.992,-10.841,1.4,0.829,1.445,0.254
4.325,-13.45,2.577,0.336,0.074,-0.096
4.595,-17.337,3.525,-0.221,-0.984,-0.843
3.343,-21.839,4.688,-1.031,-1.287,-1.028
1.099,-22.75,5.666,-2.371,-0.613,-0.294
-2.472,-4.918,9.735,-4.081,1.061,1.306
1.063,7.416,13.088,-3.656,3.049,2.169
3.249,16.266,14.698,-3.168,2.078,2.186
1.277,24.513,12.607,-2.405,0.69,1.247
-1.027,27.493,11.543,-0.529,-0.937,0.019
-0.262,9.228,7.362,2.138,-2.882,-1.586
-6.263,-1.787,3.247,2.73,-4.468,-2.167
-9.799,-8.202,-0.033,3.133,-2.191,-1.452
-6.337,-13.476,1.333,3.536,0.247,-0.389
-1.407,-16.153,1.589,3.16,1.416,0.105
0.187,-15.536,1.577,2.311,1.439,0.166
0.801,-13.765,0.899,1.329,1.478,0.248
2.182,-13.91,2.04,0.65,1.054,-0.148
3.217,-17.344,3.152,-0.202,-0.277,-0.849
1.574,-22.087,4.621,-1.22,-1.306,-1.582
-1.622,-24.662,6.678,-2.385,-0.848,-1.536
-2.854,-18.406,10.915,-4.119,0.823,-0.024
1.075,-5.175,11.373,-4.296,2.463,0.998
3.561,5.006,14.063,-3.679,1.356,0.713
-0.176,15.137,10.697,-2.79,0.285,0.326
-1.526,19.602,9.619,-1.136,-0.796,-0.022
-2.656,11.578,5.535,1.705,-2.621,-1.334
-8.936,-1.227,5.556,3.179,-4.108,-2.01
-12.765,-8.461,0.667,3.501,-1.72,-0.958
-8.785,-14.205,2.277,3.926,0.891,0.064
-2.94,-16.728,1.823,3.735,2.316,0.406
-0.577,-14.598,1.935,2.766,2.201,0.092
0.891,-12.735,0.912,1.622,1.902,-0.035
2.04,-11.629,2.276,1.028,1.2,-0.317
4.767,-14.817,4.533,0.373,-0.351,-0.798
3.407,-18.629,7.393,-0.598,-2.44,-1.53
-0.092,-22.75,10.076,-1.732,-2.984,-1.563
-2.767,-24.512,13.659,-3.452,-1.266,-0.755
-5.835,-6.399,19.447,-5.162,0.54,0.605
4.39,3.287,21.861,-4.436,0.446,2.068
3.0,14.654,19.913,-3.429,0.161,1.042
-1.187,20.751,17.686,-1.746,-0.847,0.667
-1.261,22.781,15.675,0.919,-2.963,-0.2
-0.239,2.791,9.868,3.779,-4.467,-1.687
-12.347,-5.557,4.708,3.771,-2.583,-2.62
-10.686,-13.749,3.782,3.718,0.398,-0.949
-1.424,-15.844,3.967,3.376,3.038,-0.276
2.152,-16.26,2.237,2.55,3.18,-0.143
2.862,-13.394,1.568,1.554,2.421,0.228
2.669,-10.722,1.901,0.976,0.677,0.215
2.831,-11.293,2.027,0.531,-0.769,0.074
2.758,-16.234,3.419,-0.125,-2.314,-0.658
0.563,-21.795,6.335,-0.905,-2.829,-1.272
-1.414,-24.204,8.562,-1.827,-2.114,-1.081
-2.234,-22.004,13.119,-3.604,0.272,0.381
0.011,-5.337,13.102,-4.429,2.23,0.86
4.058,1.809,18.408,-4.694,1.136,0.611
-4.528,12.575,15.275,-3.475,0.199,-0.09
-5.18,18.255,13.605,-2.096,-0.268,-0.777
-6.24,13.843,10.69,0.606,-2.856,-2.431
-10.226,-3.463,11.22,2.417,-4.094,-2.939
-15.699,-6.589,2.628,3.559,-1.418,-2.119
-5.87,-13.263,3.657,3.406,1.793,-0.663
-1.26,-17.282,2.96,3.041,2.297,-0.059
0.381,-15.063,1.334,2.129,2.969,0.144
1.815,-12.797,0.785,1.207,2.635,0.344
3.046,-13.726,3.556,0.543,1.53,0.02
2.97,-16.852,5.182,-0.219,-1.068,-0.889
-0.371,-21.679,8.284,-1.073,-2.071,-1.717
-3.733,-24.13,10.509,-2.457,-1.466,-1.661
-6.639,-14.908,14.622,-4.173,0.106,-0.661
-4.863,-0.158,15.7,-5.009,2.027,0.519
0.127,8.505,18.224,-4.832,1.414,0.813
-2.44,20.067,13.713,-3.645,0.437,0.321
-1.415,26.741,11.79,-1.573,-0.973,-0.432
-1.411,16.608,9.18,1.329,-3.717,-1.75
-3.672,2.156,7.32,3.302,-4.374,-2.53
