ax,ay,az,gx,gy,gz
-1.065,-7.534,-5.543,-0.073,0.012,0.093
-1.036,-7.518,-5.503,-0.085,-0.026,0.107
-1.108,-7.492,-5.502,-0.101,-0.108,0.121
-1.378,-7.451,-5.591,-0.121,-0.179,0.126
-1.587,-7.425,-5.69,-0.144,-0.198,0.114
-1.84,-7.403,-5.808,-0.164,-0.222,0.076
-1.966,-7.346,-5.876,-0.175,-0.218,0.021
-1.965,-7.265,-5.906,-0.178,-0.191,-0.038
-1.86,-7.129,-5.823,-0.168,-0.179,-0.081
-1.594,-6.933,-5.573,-0.16,-0.234,-0.073
-1.41,-6.751,-5.248,-0.173,-0.349,-0.011
-1.301,-6.742,-4.761,-0.206,-0.495,0.104
-1.209,-6.45,-4.234,-0.231,-0.706,0.286
-1.383,-6.169,-3.404,-0.228,-0.984,0.542
-1.683,-5.48,-2.416,-0.262,-1.354,0.912
-2.025,-4.358,-1.62,-0.417,-1.866,1.479
-3.109,-1.776,-1.467,-0.702,-2.13,2.393
-5.076,-0.752,-1.339,-0.995,-2.222,3.516
-10.232,-2.222,-1.338,-1.414,-2.592,4.288
-17.847,-7.413,-0.372,-2.384,-2.075,3.671
-26.173,-9.688,3.538,-3.45,-0.743,1.384
-35.729,-9.403,8.986,-4.068,0.294,-1.372
-40.724,-2.004,13.446,-4.522,1.156,-4.397
-34.591,7.235,14.089,-4.187,1.498,-6.37
-26.546,16.387,12.569,-2.951,1.498,-5.575
-21.434,18.515,9.049,-1.293,0.194,-2.763
-14.163,15.382,4.22,0.021,-0.192,-0.382
-9.033,6.013,0.673,1.282,-0.575,1.898
-11.776,-2.464,0.565,1.877,-0.063,3.309
-12.814,-7.688,1.763,2.112,0.339,3.282
-10.57,-8.768,1.751,2.133,1.215,2.831
-8.851,-8.246,2.445,2.227,1.243,2.926
-7.801,-7.507,2.755,2.157,0.902,3.153
-7.179,-5.916,3.065,1.961,0.374,3.626
-8.498,-3.773,2.08,1.84,-0.17,4.086
-9.402,-2.918,1.95,1.705,-0.355,4.273
-11.791,-3.412,1.654,1.391,-0.87,4.068
