ax,ay,az,gx,gy,gz
-3.556,-1.233,-7.832,-0.065,-0.082,0.009
-3.654,-1.219,-7.77,-0.065,-0.194,-0.018
-3.827,-1.199,-7.725,-0.061,-0.259,-0.035
-3.999,-1.195,-7.661,-0.049,-0.29,-0.06
-4.179,-1.208,-7.592,-0.036,-0.276,-0.081
-4.312,-1.276,-7.505,-0.013,-0.222,-0.095
-4.363,-1.313,-7.443,-0.003,-0.154,-0.101
-4.487,-1.38,-7.419,-0.003,-0.064,-0.107
-4.443,-1.421,-7.409,-0.013,0.002,-0.101
-4.373,-1.441,-7.398,-0.018,0.019,-0.094
-4.394,-1.455,-7.406,-0.016,0.035,-0.096
-4.449,-1.476,-7.421,-0.004,0.072,-0.112
-4.329,-1.506,-7.423,0.028,0.138,-0.146
-4.267,-1.546,-7.445,0.085,0.193,-0.192
-4.151,-1.664,-7.506,0.155,0.223,-0.224
-3.959,-1.854,-7.552,0.207,0.26,-0.258
-3.669,-2.042,-7.645,0.218,0.197,-0.267
-3.537,-2.205,-7.671,0.207,0.033,-0.28
-3.65,-2.242,-7.815,0.153,-0.186,-0.259
-3.878,-2.344,-7.685,0.117,-0.34,-0.308
-4.121,-2.442,-7.462,0.095,-0.454,-0.377
-4.335,-2.657,-7.364,0.071,-0.459,-0.415
-4.389,-2.849,-7.248,0.035,-0.503,-0.394
-4.439,-3.148,-6.93,0.004,-0.565,-0.381
-4.619,-3.334,-6.727,-0.09,-0.654,-0.249
-4.845,-3.272,-6.624,-0.234,-0.791,-0.05
-5.277,-2.865,-6.333,-0.377,-1.1,0.104
-6.14,-2.489,-6.106,-0.502,-1.494,0.333
-7.379,-1.824,-5.914,-0.596,-1.305,0.624
-7.725,-0.906,-5.735,-0.619,-1.135,0.793
-8.311,-0.177,-5.493,-0.55,-0.973,0.899
-8.46,0.382,-5.207,-0.43,-0.629,1.009
-8.412,0.998,-4.865,-0.289,-0.13,1.0
-7.527,1.291,-4.377,-0.152,-0.06,0.924
-7.535,1.384,-4.145,-0.045,0.034,0.887
-7.152,1.451,-3.95,0.041,0.14,0.855
-7.17,1.491,-3.848,0.118,0.173,0.815
-6.943,1.497,-3.902,0.195,0.163,0.774
-7.035,1.641,-4.109,0.29,0.068,0.722
-6.993,1.645,-4.124,0.367,-0.173,0.651
-7.025,1.709,-4.121,0.417,-0.295,0.582
-6.908,1.745,-4.112,0.434,-0.509,0.521
-7.001,1.777,-3.99,0.412,-0.575,0.48
-7.082,1.668,-3.845,0.357,-0.71,0.41
-6.995,1.586,-3.695,0.304,-0.616,0.358
-6.883,1.453,-3.546,0.278,-0.645,0.293
-6.822,1.31,-3.297,0.3,-0.538,0.233
-6.647,1.236,-3.019,0.36,-0.487,0.19
-6.471,1.314,-2.819,0.439,-0.372,0.225
-6.586,1.594,-2.781,0.552,-0.366,0.302
-6.555,1.855,-2.716,0.632,-0.419,0.442
-6.806,2.045,-2.766,0.633,-0.533,0.582
-7.148,2.259,-2.833,0.552,-0.583,0.702
-7.413,2.431,-2.795,0.402,-0.488,0.781
-7.332,2.574,-2.657,0.195,-0.466,0.833
-7.7,2.896,-2.588,-0.006,-0.351,0.866
-7.511,3.223,-2.433,-0.177,-0.069,0.903
-7.115,3.562,-2.359,-0.295,-0.001,0.929
-6.85,3.941,-2.299,-0.346,0.041,0.973
-6.75,4.635,-2.302,-0.332,0.241,1.068
-6.013,5.315,-2.225,-0.282,0.347,1.177
-5.481,6.204,-2.25,-0.184,0.072,1.26
-5.384,7.062,-2.242,-0.044,0.072,1.288
