ax,ay,az,gx,gy,gz
11.242,-2.584,0.627,-0.389,-0.402,0.047
10.753,-2.435,0.522,-0.302,-0.271,0.131
10.836,-2.285,0.366,-0.206,0.091,0.171
11.235,-2.193,0.269,-0.142,0.209,0.197
11.279,-2.151,0.044,-0.104,0.254,0.219
11.238,-2.177,-0.218,-0.107,0.266,0.238
11.132,-2.19,-0.541,-0.141,0.267,0.254
10.91,-2.32,-0.689,-0.182,0.228,0.244
10.795,-2.598,-0.731,-0.237,0.36,0.192
11.5,-2.97,-0.662,-0.265,0.562,0.214
12.014,-3.393,-0.294,-0.32,0.663,0.386
12.11,-3.739,0.087,-0.377,0.807,0.658
12.167,-4.039,0.628,-0.446,0.907,0.989
12.013,-4.143,1.193,-0.493,0.718,1.329
11.214,-3.995,1.61,-0.509,0.445,1.482
10.521,-3.454,1.744,-0.402,0.066,1.366
9.86,-3.142,1.717,-0.255,-0.289,0.921
10.281,-2.793,0.946,0.029,-0.737,0.195
10.576,-2.907,1.01,0.327,-1.283,-0.783
10.606,-4.32,1.981,0.474,-1.539,-2.1
12.438,-9.566,4.143,0.441,-1.224,-3.477
15.312,-17.796,10.525,-1.033,-1.522,-3.32
18.38,-17.604,21.464,-2.96,-2.726,-1.22
23.117,-15.392,27.405,-4.904,-1.925,1.151
27.906,-5.649,30.73,-6.568,-2.336,3.125
26.224,6.898,28.216,-7.097,-2.471,4.941
23.283,18.917,19.8,-5.415,-1.568,4.985
20.347,19.816,6.94,-3.188,0.698,3.045
17.52,17.42,-1.585,-0.825,0.732,1.269
14.036,8.137,-6.944,1.493,0.724,0.756
13.339,0.475,-7.085,2.883,-0.181,0.732
12.226,-3.723,-4.947,3.46,-1.437,1.081
9.226,-5.256,-1.972,3.662,-2.687,1.376
5.457,-5.21,0.509,3.445,-2.842,1.389
2.451,-5.158,1.338,2.942,-2.111,0.818
1.863,-6.438,1.235,2.224,-1.084,0.06
2.69,-7.542,-0.461,1.455,-0.461,-0.699
4.063,-8.497,-2.68,0.936,-0.028,-1.19
5.407,-9.996,-4.474,0.646,-0.318,-1.842
6.722,-13.11,-5.234,0.394,-0.86,-2.817
7.742,-19.259,-2.101,0.201,-1.368,-3.835
10.918,-23.136,9.807,-0.76,-1.763,-3.496
16.547,-17.697,22.939,-2.67,-0.935,-1.609
22.537,-12.665,34.044,-4.525,-0.98,0.704
24.527,-0.674,37.321,-6.276,-0.711,3.228
25.961,14.257,32.834,-6.89,-0.614,5.131
24.514,24.198,21.017,-5.703,0.122,5.389
19.647,22.465,8.167,-3.471,-1.023,3.695
14.069,20.724,-2.697,-1.034,-0.388,1.761
14.628,12.465,-5.651,1.587,-0.026,0.247
14.668,4.457,-4.118,3.161,0.052,-0.216
13.91,-1.125,-2.111,3.742,-0.763,-0.027
12.819,-4.106,-0.006,4.136,-1.32,0.568
10.4,-6.094,2.094,4.23,-2.656,0.905
5.969,-7.047,3.291,3.979,-3.235,0.931
2.92,-7.563,3.756,3.436,-3.419,0.401
1.311,-7.879,3.225,2.757,-3.097,-0.492
2.013,-8.044,1.901,2.069,-2.509,-1.3
3.947,-8.223,-0.061,1.57,-1.661,-1.945
7.33,-7.95,-0.698,1.349,-1.457,-2.819
9.938,-9.526,-0.518,1.19,-1.339,-3.77
12.524,-12.963,3.841,1.063,-1.628,-4.571
