ax,ay,az,gx,gy,gz
-1.695,-9.939,-2.529,-0.146,0.204,-0.075
-1.484,-9.593,-2.365,-0.174,0.203,-0.164
-1.258,-9.341,-2.222,-0.164,0.18,-0.183
-1.136,-9.213,-2.16,-0.132,0.13,-0.146
-1.149,-9.199,-2.207,-0.1,0.091,-0.08
-1.248,-9.269,-2.324,-0.082,0.076,-0.014
-1.347,-9.28,-2.414,-0.062,0.069,0.048
-1.394,-9.327,-2.439,-0.064,0.05,0.103
-1.415,-9.22,-2.37,-0.065,0.048,0.168
-1.178,-9.006,-2.198,-0.053,0.002,0.29
-0.733,-8.448,-1.865,-0.019,-0.128,0.502
-0.597,-7.897,-1.451,0.007,-0.309,0.804
-1.208,-7.326,-1.162,0.044,-0.351,1.242
-2.047,-7.217,-0.867,0.065,-0.296,1.723
-3.506,-7.838,-0.614,0.064,-0.355,2.054
-4.948,-9.809,0.093,-0.004,-0.486,2.164
-6.727,-12.626,0.883,-0.323,-0.643,1.728
-7.273,-15.158,2.475,-0.962,-0.868,0.663
-8.728,-16.167,4.057,-1.736,-1.395,-0.697
-8.781,-16.031,5.384,-2.421,-1.284,-1.752
-9.328,-13.736,5.121,-3.148,-0.613,-2.087
-8.69,-8.674,4.247,-3.97,0.929,-1.153
-9.163,0.476,2.629,-5.099,2.945,0.134
-4.393,8.742,2.114,-4.45,5.159,0.682
1.003,13.265,1.62,-3.024,3.971,0.874
3.754,15.831,-0.088,-1.65,2.412,0.363
4.811,16.253,-2.575,0.169,0.932,-0.746
7.283,11.828,-3.536,2.677,-1.305,-1.39
3.026,6.025,-4.674,3.712,-3.721,-0.914
-3.776,1.148,-3.879,3.829,-2.541,-0.543
-4.626,-3.675,-0.654,3.753,-0.85,-0.108
-3.885,-8.374,1.751,3.325,-0.53,0.052
-3.828,-12.726,2.431,2.711,0.471,-0.078
0.152,-15.299,2.313,1.764,1.554,-0.252
3.784,-14.615,0.328,0.847,1.476,-0.123
4.104,-12.739,-1.501,0.314,0.895,0.094
3.985,-10.652,-1.115,0.099,0.854,0.387
3.747,-8.385,-0.492,0.033,0.127,0.739
1.636,-7.061,-0.113,0.17,-0.646,1.127
0.248,-6.922,0.292,0.312,-0.879,1.561
-0.888,-7.59,0.22,0.361,-1.108,1.923
-2.374,-9.872,0.607,0.312,-1.395,2.164
-3.395,-15.337,2.677,-0.009,-1.821,1.815
-5.076,-20.305,6.504,-0.757,-2.158,0.46
-6.713,-21.76,9.903,-1.488,-2.491,-0.956
-8.95,-20.328,10.776,-2.473,-1.734,-1.005
-10.682,-13.979,10.733,-4.104,0.271,-0.209
-13.174,1.938,8.557,-5.607,2.661,0.084
-2.783,11.46,7.026,-4.784,3.433,1.048
-0.516,16.009,2.563,-4.039,2.457,1.738
2.618,19.502,-1.176,-2.931,1.873,1.04
5.832,19.062,-3.234,-0.888,-0.459,-0.284
6.434,10.699,-3.781,1.592,-3.731,-0.734
-5.309,6.443,-4.703,2.481,-4.286,-0.965
-5.553,0.729,-1.682,3.103,-2.609,-0.874
-5.892,-5.936,0.571,3.542,-2.294,-0.747
-5.358,-12.526,2.256,3.628,-1.218,-0.797
-1.242,-16.359,2.559,3.036,0.731,-0.607
2.367,-17.163,0.73,2.006,1.247,-0.338
3.064,-14.28,-1.176,1.314,1.173,-0.084
3.323,-12.022,-0.46,0.746,0.78,0.246
1.828,-9.724,-0.86,0.32,0.061,0.59
-0.056,-8.932,-0.579,0.205,-0.376,0.751
0.257,-10.126,0.281,0.041,-0.613,0.671
0.854,-13.809,2.046,-0.35,-1.131,0.238
1.024,-18.003,4.195,-0.946,-1.877,-0.499
0.236,-20.508,6.261,-1.749,-2.106,-0.946
-1.361,-20.736,7.485,-2.395,-1.611,-0.645
-4.546,-15.773,8.194,-3.575,0.336,0.912
-10.366,1.687,2.276,-4.564,2.616,1.496
-1.072,11.094,4.199,-3.491,4.273,1.767
2.054,17.441,1.685,-2.659,3.358,1.616
3.079,22.991,-2.203,-1.697,2.246,0.95
3.855,23.385,-4.072,0.38,-0.98,-0.867
5.492,9.731,0.752,2.662,-3.74,-1.447
-5.171,2.978,-1.648,3.029,-4.623,-1.298
-7.025,-2.431,-1.042,3.65,-2.846,-0.972
-5.113,-10.096,1.519,3.769,-1.808,-0.797
-2.925,-15.524,1.358,3.222,-0.075,-0.653
0.899,-16.621,0.411,2.352,1.327,-0.292
1.643,-15.161,-1.362,1.53,1.285,-0.127
1.406,-13.252,-1.006,0.813,1.02,0.062
0.022,-10.338,-0.83,0.418,0.509,0.168
-0.351,-8.694,0.077,0.25,0.228,0.335
-0.379,-8.275,0.575,0.24,-0.401,0.193
1.409,-10.779,1.77,0.264,-0.756,-0.066
3.434,-14.493,3.047,0.18,-1.953,-0.56
3.532,-18.169,4.663,-0.217,-2.869,-0.87
2.155,-19.992,6.065,-0.639,-2.446,-0.752
-0.089,-19.955,6.125,-1.494,-1.263,0.091
-1.918,-11.271,6.518,-3.318,1.007,1.541
-8.325,3.193,5.778,-4.246,3.812,1.923
0.343,9.786,8.724,-3.355,3.086,2.005
-2.532,15.956,4.284,-2.729,1.051,1.34
-1.71,20.459,2.441,-1.228,-0.673,0.379
-4.312,15.623,1.659,1.622,-3.99,-1.115
-1.664,2.705,0.852,3.438,-6.278,-1.316
