ax,ay,az,gx,gy,gz
-7.26,4.037,2.166,-0.048,-0.007,-0.52
-7.297,4.0,2.133,-0.027,0.033,-0.571
-7.4,3.975,2.137,0.011,0.026,-0.581
-7.669,3.895,2.137,0.067,0.051,-0.556
-7.77,3.798,2.133,0.134,0.092,-0.495
-7.854,3.615,2.065,0.2,0.097,-0.407
-8.068,3.376,1.96,0.266,0.058,-0.284
-8.923,3.013,1.542,0.205,0.049,-0.071
-8.981,2.68,1.306,0.043,0.12,0.289
-9.076,2.473,1.188,-0.228,-0.101,0.716
-8.968,2.373,1.266,-0.529,-0.206,1.203
-8.393,2.181,1.403,-0.879,-0.021,1.622
-7.314,1.833,1.787,-1.279,0.603,1.757
-5.334,1.432,1.976,-1.697,1.441,1.087
-5.634,0.189,0.912,-2.416,1.373,0.036
-7.144,0.08,0.877,-3.307,1.318,-1.501
-10.954,3.584,3.136,-3.919,1.457,-3.298
-14.075,10.999,6.998,-3.155,1.78,-4.679
-21.84,17.022,16.907,-0.912,2.631,-4.019
-26.396,15.602,31.038,1.733,3.822,-1.596
-32.898,8.563,42.594,4.576,4.667,1.226
-30.717,-4.352,45.333,7.149,5.028,3.624
-29.108,-19.801,39.391,7.254,3.838,5.215
-23.394,-29.394,26.595,4.832,1.902,4.913
-19.88,-27.504,12.927,1.693,0.756,2.916
-13.305,-18.381,3.427,-1.552,0.413,1.261
-10.575,-6.746,1.5,-4.381,1.385,0.422
-6.567,2.28,4.793,-5.774,2.696,-0.006
-3.865,7.139,7.672,-5.857,3.784,-0.155
0.627,8.549,7.118,-5.016,4.871,-0.472
3.631,6.231,2.046,-4.249,4.023,-1.532
-0.378,4.593,-1.289,-4.107,2.181,-3.06
-5.105,5.594,-2.672,-3.841,2.233,-4.832
-11.467,8.375,-0.055,-3.842,1.671,-6.392
-21.631,10.137,12.417,-2.719,2.186,-6.459
-26.662,9.969,28.559,-0.41,3.583,-3.745
-32.373,0.665,41.83,2.33,3.102,-0.656
-33.337,-17.035,47.483,4.753,2.0,1.927
-29.377,-31.097,41.566,6.088,1.487,3.905
-23.112,-37.519,27.563,4.869,-0.243,4.201
-23.87,-35.062,15.525,2.136,-1.786,2.422
-16.729,-24.626,4.179,-0.461,0.13,1.414
-11.705,-8.198,-0.096,-3.085,1.046,1.425
-9.565,2.474,4.01,-4.354,2.008,1.832
-6.067,6.498,6.412,-4.089,3.304,2.411
0.999,4.63,4.108,-3.053,4.96,2.238
4.886,3.39,-0.094,-2.457,3.743,0.822
2.565,3.395,-3.103,-2.136,2.254,-1.244
-0.095,5.259,-4.554,-1.95,2.066,-3.628
-2.74,10.166,-2.434,-2.231,1.478,-5.614
-12.531,15.304,9.053,-1.473,0.798,-6.374
-21.043,12.297,24.168,0.405,2.111,-3.95
-27.204,-1.84,33.092,2.708,2.686,-0.986
-27.013,-17.921,32.727,4.843,2.592,1.059
-24.487,-30.924,27.747,5.773,2.547,2.887
-18.733,-39.412,15.086,4.635,1.503,4.003
-15.158,-36.179,3.027,2.277,-0.066,2.718
-8.59,-21.403,-3.441,-0.399,-0.061,1.94
-6.255,-7.127,-1.85,-2.802,0.04,2.514
-6.373,1.256,2.084,-3.747,0.525,2.988
-2.241,4.853,4.619,-3.722,2.157,2.903
2.737,5.258,2.818,-3.182,3.511,1.961
4.493,5.424,0.144,-2.454,3.241,0.083
1.637,5.868,-1.19,-2.228,1.685,-1.98
-2.002,8.175,-1.679,-1.837,1.957,-4.283
-5.469,9.615,-2.326,-1.647,1.316,-6.093
-14.332,12.891,8.206,-1.188,1.127,-6.967
-23.442,10.78,21.454,0.194,2.721,-4.572
-31.272,0.388,35.042,2.51,3.703,-1.635
-31.11,-18.415,41.032,4.546,2.646,1.847
-29.846,-31.729,38.927,5.662,2.155,3.934
-25.055,-40.797,25.992,4.898,1.075,4.856
-22.081,-40.022,15.08,2.739,-0.675,3.263
-14.083,-29.256,3.359,0.133,-0.525,2.09
-12.289,-12.44,-2.081,-2.446,-0.091,1.359
-11.651,-1.781,0.951,-4.13,1.227,1.89
-7.812,2.698,5.052,-4.335,3.141,2.453
-0.328,2.971,4.393,-3.869,4.391,2.153
1.323,1.455,1.025,-3.73,3.792,0.779
-0.616,0.897,0.041,-3.843,3.398,-1.361
-3.374,2.744,-0.008,-3.79,2.986,-3.889
-9.907,4.938,1.857,-4.136,1.406,-5.613
-15.442,11.984,9.096,-3.587,1.692,-6.427
-23.629,16.441,21.847,-1.389,2.079,-5.697
-26.208,14.112,37.383,1.303,3.723,-2.816
-35.6,3.157,52.31,3.847,3.211,0.587
-33.042,-10.854,56.481,6.646,3.481,3.8
-32.183,-27.092,48.764,7.448,1.666,5.687
-25.664,-35.751,36.293,5.761,1.646,5.982
-22.31,-34.673,19.941,3.053,-0.995,4.325
-14.421,-21.336,5.321,0.18,-1.37,3.239
-12.689,-8.165,-0.316,-2.484,-0.835,2.49
-9.613,1.189,0.729,-4.144,0.905,2.31
-7.101,5.783,2.671,-4.564,2.274,2.012
-4.184,6.746,2.812,-3.942,4.244,1.32
-0.087,2.66,0.169,-3.407,4.539,-0.177
-1.839,1.637,-0.863,-3.326,3.95,-2.378
-4.466,0.773,-1.118,-3.391,3.087,-4.427
-10.594,1.945,1.686,-3.994,1.818,-5.731
-15.559,7.956,8.12,-3.6,1.089,-6.431
-24.143,14.635,19.439,-1.483,2.121,-5.542
-26.711,12.721,32.654,1.099,3.326,-2.466
-36.142,2.424,45.636,3.731,3.725,0.843
-28.602,-10.816,46.155,6.21,3.779,3.123
-27.395,-23.448,37.635,6.101,3.099,4.685
-20.538,-31.308,26.369,3.751,1.299,4.572
-19.83,-26.543,13.953,0.922,-0.484,3.259
-9.254,-14.518,2.501,-1.676,0.002,2.309
-10.454,-2.181,0.569,-3.67,0.94,2.046
-6.657,5.258,3.91,-4.247,2.095,2.085
-3.732,7.403,5.31,-3.787,3.425,2.03
0.898,4.94,2.066,-2.979,4.207,1.161
0.346,4.845,-1.611,-2.539,3.237,-0.317
-2.654,6.759,-3.979,-2.277,2.86,-2.204
-4.797,8.267,-4.871,-2.184,2.952,-4.248
-7.404,13.807,0.564,-2.344,2.143,-5.878
-19.201,17.5,17.195,-0.976,3.093,-5.753
-24.143,14.013,33.858,1.182,2.825,-3.325
-33.431,-3.989,46.251,3.415,3.02,-0.331
-34.786,-19.227,45.893,5.275,1.374,2.595
-35.912,-32.268,38.145,5.774,1.453,4.558
-27.678,-38.48,22.78,3.994,-0.875,4.878
-24.751,-32.984,9.816,1.438,-0.555,3.652
-13.164,-16.045,-0.223,-1.054,-0.544,2.651
-10.091,-2.635,1.387,-3.117,1.105,2.238
-6.539,4.257,3.874,-3.693,2.319,2.392
-1.593,7.438,4.919,-3.369,4.591,2.244
2.872,4.449,1.005,-2.957,4.796,1.281
1.512,4.417,-1.669,-2.612,3.622,-0.027
-1.341,5.283,-4.117,-2.046,3.072,-1.935
-4.604,8.382,-5.446,-1.872,2.461,-3.841
-6.493,12.556,-1.755,-1.889,1.846,-5.448
-11.909,17.347,7.447,-0.868,0.507,-5.865
-16.706,18.15,24.116,1.279,2.513,-4.076
-27.304,7.517,41.16,3.202,1.166,-1.19
-28.72,-11.249,46.869,5.376,0.55,1.579
-32.237,-25.07,41.074,5.957,-0.914,3.713
-31.043,-32.459,31.931,4.722,-0.092,4.485
-28.731,-32.176,18.193,2.052,-1.731,3.467
-16.493,-21.557,4.76,-0.391,-0.143,2.136
-12.688,-5.013,1.517,-2.775,0.38,1.411
-8.297,3.8,4.156,-3.612,1.841,1.285
-4.488,6.393,6.459,-3.562,3.754,1.274
-0.084,3.381,4.023,-3.355,4.37,0.764
-0.237,2.605,1.87,-3.556,3.88,-0.399
-3.169,2.234,0.512,-3.841,3.762,-2.022
-7.285,3.826,1.346,-4.224,3.204,-3.767
-11.822,9.865,5.035,-4.414,2.251,-5.415
-20.748,16.533,16.972,-2.589,2.115,-6.12
-26.697,17.365,32.559,0.054,3.742,-3.625
-36.853,4.714,48.416,2.723,3.908,-0.765
-34.375,-13.238,55.336,5.487,3.369,2.465
-33.841,-29.405,49.781,7.152,2.013,4.692
-27.399,-38.507,35.883,5.758,1.447,5.684
-25.256,-40.323,19.44,3.066,-1.178,4.144
-15.094,-26.378,5.092,0.326,-1.178,3.08
-14.189,-9.476,-1.07,-2.312,0.365,2.03
-9.407,0.917,1.507,-3.941,2.034,1.93
-6.217,4.61,4.364,-4.316,2.629,2.044
-1.555,6.046,4.752,-3.824,4.117,1.759
1.105,5.429,2.359,-3.228,4.148,0.909
-0.013,5.56,0.373,-2.853,3.188,-0.064
-3.715,5.69,-0.97,-2.708,2.934,-1.28
-6.53,7.272,-1.702,-2.818,3.23,-2.984
-7.987,11.827,3.371,-3.351,3.532,-4.651
-14.459,19.667,15.258,-2.153,3.7,-5.686
-21.651,16.22,30.767,0.111,5.098,-3.663
-34.372,4.579,46.771,2.428,3.813,-1.082
-37.784,-13.578,56.533,4.945,2.473,2.271
-40.893,-29.75,48.681,6.944,1.049,4.555
-36.072,-42.506,35.031,5.715,0.06,5.399
-33.587,-39.811,19.968,2.871,-2.307,3.547
-21.094,-27.956,6.26,0.111,-0.953,2.192
-16.254,-11.286,-0.396,-2.67,0.341,1.121
-11.019,-0.562,4.519,-4.527,1.928,1.025
-8.522,3.431,8.427,-4.958,3.373,1.528
-1.173,3.944,7.539,-4.471,5.097,1.336
0.954,4.027,4.499,-4.159,3.996,0.621
-1.391,4.679,1.69,-3.882,3.552,-0.837
-3.953,7.292,0.049,-3.921,3.066,-2.609
-5.68,13.567,2.896,-3.797,2.66,-4.499
-11.37,21.177,11.303,-2.513,2.086,-5.368
