ax,ay,az,gx,gy,gz
-6.393,-3.594,-0.455,-0.106,-0.419,-1.069
-5.805,-3.984,-0.419,-0.157,-0.204,-1.459
-5.373,-4.725,-0.461,-0.231,-0.039,-1.91
-5.739,-6.242,-0.74,-0.404,0.068,-2.292
-5.861,-7.583,-1.125,-0.593,0.663,-2.441
-4.499,-8.686,-1.234,-0.62,0.62,-2.41
-5.102,-9.681,-1.315,-0.781,-0.725,-1.877
-6.178,-9.876,-1.375,-0.815,-1.145,-1.145
-5.636,-9.037,-1.007,-0.736,-0.988,-0.374
-4.242,-7.667,-0.547,-0.602,-1.105,0.037
-4.774,-6.827,-0.599,-0.675,-1.123,0.221
-4.174,-6.504,-0.623,-0.643,-0.029,-0.05
-3.111,-7.125,-0.568,-0.755,0.205,-0.38
-2.772,-7.61,-0.612,-0.901,-0.381,-0.603
-3.501,-8.039,-0.689,-1.032,-0.924,-0.622
-3.886,-8.155,-0.632,-0.962,-0.822,-0.478
-4.083,-8.09,-0.944,-0.754,-0.567,-0.151
-2.689,-6.838,-3.061,-0.283,-2.25,0.684
-2.85,-6.543,-4.618,0.149,-3.68,0.61
-5.918,-7.372,-7.515,0.591,-4.398,-0.109
-7.873,-7.977,-12.145,0.799,-4.37,-0.924
-7.44,-7.996,-13.927,0.703,-5.006,-1.717
-11.664,-7.444,-13.363,0.19,-4.183,-2.317
-12.077,-6.54,-12.313,0.005,-2.343,-1.883
-9.744,-6.163,-10.291,0.109,-1.528,-0.729
-13.461,-7.73,-10.117,0.477,-1.345,0.701
-18.8,-8.671,-13.015,0.584,0.432,2.196
-17.124,-9.89,-12.021,0.207,3.102,2.261
-17.5,-10.447,-13.891,0.448,1.262,1.629
-16.164,-10.34,-12.393,0.076,1.267,2.183
-10.028,-8.63,-7.827,-0.203,0.198,2.628
-4.578,-7.282,-3.855,0.37,-2.655,2.569
-3.817,-6.319,-5.022,1.697,-5.908,2.533
-4.798,-7.024,-5.014,1.919,-5.131,2.431
-8.053,-7.31,-8.847,2.431,-5.233,0.924
-9.104,-7.145,-11.057,2.85,-4.232,-0.625
-10.596,-8.425,-19.284,2.643,-3.077,-1.501
-11.171,-9.43,-18.307,2.485,-1.176,-1.381
-11.37,-10.408,-19.306,2.354,0.991,-0.618
-9.166,-13.514,-21.188,1.658,2.205,0.315
