ax,ay,az,gx,gy,gz
7.018,-7.225,-0.174,0.996,-0.218,-0.667
15.268,-9.994,-2.349,0.36,0.085,-1.177
10.883,-24.329,-3.416,-0.327,-0.633,-2.292
2.275,-37.951,6.101,-2.04,-0.106,-0.581
3.055,-41.367,20.057,-3.989,-1.974,-1.924
-25.921,-6.801,39.98,-2.398,-2.065,-0.527
-24.874,10.498,37.081,-1.292,-2.372,0.456
-18.499,20.981,30.885,1.674,-2.048,-0.899
-21.844,19.944,19.183,3.648,-0.221,1.246
-7.012,3.702,13.776,4.133,1.507,2.093
0.08,-13.063,0.329,2.776,0.048,0.451
4.395,-16.724,4.493,2.137,1.165,0.939
