ax,ay,az,gx,gy,gz
5.031,-7.025,-5.622,-0.284,2.048,-1.21
-0.42,-14.629,-7.345,-0.958,0.328,-0.732
-8.316,-21.382,-7.309,-1.95,-1.795,-1.244
-6.356,-18.514,6.268,-3.606,-3.666,-2.167
-17.221,-4.107,-3.538,-3.63,-4.364,-3.133
-18.648,7.007,7.845,-1.839,-2.93,-1.393
-12.745,17.149,9.243,-0.214,-0.065,-0.161
-8.687,20.917,7.552,1.781,3.051,1.442
-12.203,13.089,-6.013,4.043,5.11,2.934
-2.631,-3.839,3.973,4.137,4.826,4.234
-4.145,-15.837,-5.195,2.152,2.546,2.601
-3.919,-18.355,-5.177,0.766,0.787,0.957
