ax,ay,az,gx,gy,gz
-0.512,-8.322,2.829,-0.373,0.004,-0.039
-0.391,-8.887,2.319,-0.33,-0.016,-0.12
-0.538,-9.617,1.564,-0.299,-0.083,-0.145
-0.556,-10.289,1.129,-0.243,-0.185,-0.138
-0.628,-10.377,1.299,-0.145,-0.22,-0.081
-1.239,-9.669,1.614,-0.167,-0.265,0.034
-1.397,-8.775,1.951,-0.203,-0.255,-0.042
-1.185,-8.448,2.275,-0.283,-0.194,-0.127
-1.179,-8.818,2.126,-0.37,-0.137,-0.129
-1.049,-9.557,1.824,-0.394,-0.094,-0.092
-0.726,-10.368,1.763,-0.318,0.003,0.014
-0.98,-10.663,1.582,-0.251,0.091,0.252
