ax,ay,az,gx,gy,gz
0.699,-7.309,-5.434,-0.171,-0.006,0.052
1.673,-7.033,-5.004,-0.269,0.036,0.459
-1.525,-7.367,-5.351,-0.789,-0.319,1.082
-1.14,-11.044,-7.422,-1.048,0.649,0.186
0.099,-13.461,-6.831,-1.113,0.895,-0.351
1.107,-15.039,-6.294,-1.358,1.617,-0.507
7.704,-4.629,-1.183,-3.496,3.327,1.959
6.304,2.415,-1.998,-3.688,2.429,3.502
5.064,7.34,-4.141,-3.418,2.709,3.015
8.461,9.544,-3.397,-2.908,1.951,2.633
8.272,11.003,-5.38,-2.026,0.732,1.793
7.526,6.239,-7.597,-0.29,-0.58,0.27
2.449,3.372,-9.176,1.206,-1.863,-1.307
-0.601,0.83,-8.878,1.841,-1.962,-1.551
-0.874,-1.628,-8.179,1.946,-1.68,-1.507
