ax,ay,az,gx,gy,gz
-2.194,-7.304,-2.768,-0.114,-0.175,0.179
0.681,-2.183,-0.657,-0.044,-0.595,2.148
0.266,1.008,-0.241,-0.149,-0.796,3.74
-1.932,4.843,0.532,-0.368,-0.951,5.354
-27.592,9.398,0.741,-1.523,-0.442,5.155
-38.069,11.038,2.933,-1.718,0.07,1.759
-31.325,29.814,8.789,-1.362,1.343,-7.447
-18.227,32.72,8.022,-1.066,1.324,-6.134
-9.512,30.115,5.691,-0.677,0.762,-3.57
-1.52,19.222,0.925,-0.19,0.013,-0.93
-11.843,-3.738,1.364,1.036,-0.667,3.872
-12.334,-6.349,2.508,1.266,-0.601,3.413
-13.017,-7.266,3.1,1.451,-0.816,2.717
-12.753,-8.163,2.838,1.086,0.025,1.129
-10.968,-7.213,1.748,0.555,1.003,-0.353
